Address: 18050, Value: 3
Address: 53813, Value: 1
Address: 57201, Value: 3
Address: 9878, Value: 1
Address: 23746, Value: 1
Address: 32315, Value: 1
Address: 12971, Value: 2
Address: 2834, Value: 3
Address: 36122, Value: 2
Address: 2697, Value: 3
Address: 15584, Value: 3
Address: 51186, Value: 1
Address: 15857, Value: 1
Address: 50713, Value: 1
Address: 53721, Value: 1
Address: 7611, Value: 3
Address: 14857, Value: 1
Address: 3407, Value: 3
Address: 14601, Value: 0
Address: 7866, Value: 1
Address: 44946, Value: 3
Address: 64699, Value: 1
Address: 12508, Value: 3
Address: 54225, Value: 3
Address: 16225, Value: 3
Address: 59400, Value: 1
Address: 8641, Value: 3
Address: 58715, Value: 1
Address: 167, Value: 3
Address: 54984, Value: 1
Address: 60195, Value: 1
Address: 48407, Value: 3
Address: 30200, Value: 1
Address: 5475, Value: 3
Address: 55417, Value: 3
Address: 8563, Value: 3
Address: 8279, Value: 3
Address: 24440, Value: 3
Address: 12272, Value: 3
Address: 51245, Value: 1
Address: 34952, Value: 1
Address: 9003, Value: 1
Address: 12622, Value: 1
Address: 50607, Value: 3
Address: 7997, Value: 1
Address: 43186, Value: 1
Address: 23340, Value: 3
Address: 37051, Value: 1
Address: 22415, Value: 3
Address: 62586, Value: 3
Address: 3338, Value: 3
Address: 22430, Value: 3
Address: 26305, Value: 2
Address: 20660, Value: 1
Address: 7153, Value: 1
Address: 2862, Value: 1
Address: 16451, Value: 1
Address: 56853, Value: 1
Address: 999, Value: 3
Address: 37077, Value: 3
Address: 5464, Value: 1
Address: 8400, Value: 1
Address: 1823, Value: 1
Address: 56130, Value: 3
Address: 9168, Value: 3
Address: 30012, Value: 3
Address: 35026, Value: 3
Address: 38653, Value: 1
Address: 6706, Value: 1
Address: 20731, Value: 3
Address: 50944, Value: 3
Address: 41668, Value: 1
Address: 63753, Value: 3
Address: 20909, Value: 3
Address: 8754, Value: 1
Address: 12202, Value: 3
Address: 64105, Value: 1
Address: 24844, Value: 3
Address: 39246, Value: 3
Address: 26928, Value: 1
Address: 14420, Value: 1
Address: 41774, Value: 3
Address: 1179, Value: 2
Address: 41539, Value: 3
Address: 57156, Value: 3
Address: 2710, Value: 3
Address: 61939, Value: 1
Address: 45811, Value: 1
Address: 46720, Value: 3
Address: 10005, Value: 0
Address: 45401, Value: 3
Address: 13639, Value: 3
Address: 43877, Value: 3
Address: 53297, Value: 3
Address: 53605, Value: 1
Address: 17897, Value: 3
Address: 24788, Value: 3
Address: 19287, Value: 3
Address: 17554, Value: 3
Address: 22155, Value: 3
Address: 62081, Value: 3
Address: 59676, Value: 3
Address: 53083, Value: 3
Address: 40989, Value: 1
Address: 19867, Value: 1
Address: 24303, Value: 3
Address: 52389, Value: 3
Address: 47763, Value: 3
Address: 65155, Value: 1
Address: 19379, Value: 1
Address: 62359, Value: 1
Address: 30146, Value: 3
Address: 36422, Value: 3
Address: 12604, Value: 2
Address: 26131, Value: 0
Address: 2977, Value: 3
Address: 58055, Value: 1
Address: 58506, Value: 3
Address: 20895, Value: 1
Address: 15207, Value: 3
Address: 50440, Value: 1
Address: 11439, Value: 1
Address: 6635, Value: 1
Address: 29063, Value: 3
Address: 6502, Value: 3
Address: 20386, Value: 3
Address: 13793, Value: 1
Address: 8373, Value: 3
Address: 10467, Value: 1
Address: 53074, Value: 2
Address: 64095, Value: 1
Address: 39908, Value: 3
Address: 30169, Value: 3
Address: 21871, Value: 3
Address: 55742, Value: 3
Address: 29006, Value: 1
Address: 17994, Value: 1
Address: 7622, Value: 1
Address: 29742, Value: 3
Address: 50307, Value: 1
Address: 44433, Value: 2
Address: 44796, Value: 1
Address: 59767, Value: 0
Address: 63029, Value: 1
Address: 64608, Value: 3
Address: 56414, Value: 1
Address: 34122, Value: 3
Address: 25972, Value: 1
Address: 19204, Value: 1
Address: 62692, Value: 1
Address: 17703, Value: 1
Address: 16709, Value: 3
Address: 12291, Value: 2
Address: 35472, Value: 3
Address: 44924, Value: 1
Address: 12953, Value: 3
Address: 5018, Value: 1
Address: 30281, Value: 3
Address: 59114, Value: 3
Address: 7064, Value: 1
Address: 37753, Value: 1
Address: 19121, Value: 1
Address: 34352, Value: 3
Address: 61674, Value: 2
Address: 12676, Value: 3
Address: 1046, Value: 3
Address: 62761, Value: 3
Address: 8973, Value: 1
Address: 17190, Value: 3
Address: 36148, Value: 3
Address: 32954, Value: 3
Address: 46558, Value: 1
Address: 18261, Value: 3
Address: 24272, Value: 3
Address: 25559, Value: 3
Address: 20147, Value: 3
Address: 41441, Value: 3
Address: 48752, Value: 3
Address: 30718, Value: 1
Address: 44506, Value: 1
Address: 41416, Value: 3
Address: 19701, Value: 2
Address: 41759, Value: 1
Address: 28050, Value: 3
Address: 41781, Value: 3
Address: 45321, Value: 3
Address: 8189, Value: 3
Address: 20018, Value: 3
Address: 27362, Value: 3
Address: 62627, Value: 1
Address: 19168, Value: 1
Address: 31278, Value: 1
Address: 3756, Value: 3
Address: 13226, Value: 3
Address: 37546, Value: 3
Address: 273, Value: 1
Address: 6328, Value: 1
Address: 8200, Value: 1
Address: 50409, Value: 3
Address: 48036, Value: 2
Address: 51846, Value: 3
Address: 65442, Value: 3
Address: 36350, Value: 3
Address: 41260, Value: 3
Address: 34992, Value: 3
Address: 44388, Value: 2
Address: 3352, Value: 3
Address: 64735, Value: 2
Address: 44630, Value: 3
Address: 18201, Value: 3
Address: 45939, Value: 1
Address: 7206, Value: 1
Address: 23505, Value: 3
Address: 17352, Value: 1
Address: 30642, Value: 3
Address: 46115, Value: 1
Address: 19525, Value: 1
Address: 63893, Value: 1
Address: 45412, Value: 2
Address: 56979, Value: 3
Address: 10218, Value: 1
Address: 17453, Value: 3
Address: 62913, Value: 3
Address: 4412, Value: 1
Address: 24691, Value: 1
Address: 20181, Value: 3
Address: 54024, Value: 3
Address: 17452, Value: 3
Address: 36885, Value: 1
Address: 25078, Value: 3
Address: 60888, Value: 1
Address: 39723, Value: 2
Address: 26804, Value: 1
Address: 63377, Value: 1
Address: 36958, Value: 1
Address: 23430, Value: 1
Address: 22013, Value: 1
Address: 50777, Value: 1
Address: 37571, Value: 3
Address: 11464, Value: 1
Address: 9434, Value: 3
Address: 25419, Value: 1
Address: 26687, Value: 3
Address: 29659, Value: 3
Address: 33840, Value: 1
Address: 29539, Value: 1
Address: 4596, Value: 1
Address: 57028, Value: 1
Address: 34846, Value: 3
Address: 39086, Value: 1
Address: 6771, Value: 1
Address: 5134, Value: 1
Address: 21184, Value: 1
Address: 40066, Value: 1
Address: 29593, Value: 3
Address: 18719, Value: 3
Address: 7815, Value: 3
Address: 37685, Value: 3
Address: 35616, Value: 1
Address: 13880, Value: 1
Address: 46819, Value: 3
Address: 51617, Value: 1
Address: 24062, Value: 3
Address: 64117, Value: 1
Address: 33409, Value: 3
Address: 26730, Value: 3
Address: 37226, Value: 0
Address: 29993, Value: 1
Address: 65293, Value: 3
Address: 22027, Value: 1
Address: 26422, Value: 1
Address: 30254, Value: 1
Address: 18843, Value: 1
Address: 17625, Value: 1
Address: 59134, Value: 3
Address: 29825, Value: 3
Address: 21162, Value: 3
Address: 7615, Value: 3
Address: 16701, Value: 3
Address: 11086, Value: 2
Address: 61267, Value: 1
Address: 45588, Value: 3
